index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,city_lower,solar_potential_score,outage_risk_score,facility_score,final_score,rank
5800,trillium health partners  mississauga hospital,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,L5B1B8,mississauga,on,,Mississauga,,35,43.5852972,-79.64498379999999,mississauga,0.2,0.8564956719802989,1.0,66.26,35
5801,trillium health partners  reactivation care centre church,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M9N1N8,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.41483829238634146,1.0,41.65,313
5803,trillium health partners- mississauga,hospital - corporation,Hospitals,Province of Ontario,,100,queensway w,L5B1B8,mississauga,on,,Mississauga,3521005.0,35,43.57225606,-79.60962385,mississauga,0.2,0.7958448135436507,1.0,63.83,74
5804,trillium health partners- queensway,hospital - site,Hospitals,Province of Ontario,,150,sherway drive,M9C1A5,toronto,on,,Toronto,3520005.0,35,43.60968137,-79.56136044,toronto,0.01073592472810095,0.4017723257061015,1.0,41.45,316
5808,trinity square cafe,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,10,trinity square,M5G1B1,toronto,on,,Toronto,3520005.0,35,43.65488599,-79.38147328,toronto,0.002572613038238676,0.4265343605838624,0.8,37.15,446
5813,true davidson acres,long-term care home,Nursing and residential care facilities,Province of Ontario,,200,dawes road,M4C5M8,toronto,on,,Toronto,3520005.0,35,43.6960602,-79.29840606,toronto,0.0008212253042169532,0.2891304406847407,0.8,31.59,668
5814,true davidson meals on wheels (east york) inc.,community support service,Ambulatory health care services,Province of Ontario,,25,waterman avenue,M4B1Y6,toronto,on,,Toronto,3520005.0,35,43.7124332,-79.31575107,toronto,0.0012489309946691113,0.34820134482678805,0.5,26.47,829
5821,tullamore care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,133,kennedy road s,L6W3G3,brampton,on,,Brampton,3521010.0,35,43.68480267,-79.7360306,brampton,0.2,0.8573778661274482,0.8,61.3,104
5828,tyndall nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,1060,eglinton avenue e,L4W1K3,mississauga,on,,Mississauga,3521005.0,35,43.62835307,-79.62744866,mississauga,0.2,0.9582724027746764,0.8,65.33,55
5829,uhn toronto western family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,,bathurst street,M5T2S8,toronto,on,,Toronto,3520005.0,35,43.7448438,-79.43584941,toronto,0.0009042479006055169,0.4046373360102953,0.5,28.72,771
